period,total_consumption,total_saving,average_consumption,consumption_inequality,saving_rate,inflation,growth,unemployment
74,103525070.63656667,-16285247.807225391,103525.07063656667,1.0146326271195407,-0.18667217881772438,0.07948733083702171,0.2293094294525133,0.1287468286565772
75,104119688.80230941,-16555577.469066633,104119.6888023094,1.0163607172341773,-0.18906806929223624,0.0779595719323842,0.2338790274042309,0.12993540006045215
76,105277934.02093226,-16663347.548545934,105277.93402093225,1.0135649209341835,-0.18804294204700137,0.10192350288627362,0.24868143016106306,0.13295666092570776
77,102314414.15344983,-16165462.424609425,102314.41415344983,1.016319819425514,-0.1876454919090751,0.09767470455021615,0.21393780114480504,0.13190741823020385
78,101680234.73242322,-16027107.91807826,101680.23473242321,1.0135637333498695,-0.18711643712455905,0.12533528441875139,0.20695105790096444,0.13221720706273402
79,99248939.7634692,-15622275.957718596,99248.9397634692,1.0146204609734704,-0.18680974759445476,0.11675384642691541,0.1783958636776228,0.14033415551660802
80,99581478.047185,-15749030.252007645,99581.47804718501,1.0127282580068526,-0.1878631802626863,0.1221288868258671,0.1812955967402122,0.13510590435544362
81,99994331.07060975,-15804524.178066067,99994.33107060975,1.0149687093013968,-0.18772491304366926,0.12935851402848586,0.18633119738502774,0.13474283485233762
82,100444580.47252113,-15897769.032376546,100444.58047252112,1.016785951409122,-0.18803511050953667,0.12931011499161751,0.19136180201591682,0.13088833184688686
83,102757703.5559744,-16240783.240401473,102757.7035559744,1.014217372481942,-0.18771799991449944,0.13725226867681906,0.21912290169570223,0.13507912297743255
84,104246110.058334,-16475122.587955704,104246.11005833399,1.0142129281370116,-0.18770579052122288,0.14156566414593924,0.2367941500840061,0.12979542796548174
85,104998322.47102499,-16511406.35653114,104998.32247102499,1.0154125137149352,-0.18659714996923288,0.15403389836798742,0.24688240799746017,0.12656011233809752
86,104261745.64871365,-16388992.442541722,104261.74564871365,1.0131622732330055,-0.18650823884041687,0.1600458013753463,0.238228146331924,0.12653737475718826
87,102547671.54808311,-16182325.0493459,102547.6715480831,1.014757999963485,-0.18737057981446886,0.181899833601669,0.21698705230661344,0.11944767412184765
88,101599894.93991312,-16073031.603138624,101599.89493991312,1.0153364914462955,-0.1879296279094057,0.17592797829891002,0.20517186029901063,0.11573451769817127
89,100378289.62594974,-15797678.584938845,100378.28962594974,1.0134690951737488,-0.18677659561100793,0.18328874150091218,0.1918380772616609,0.11214910952677838
90,100113169.02280724,-15866303.287088014,100113.16902280724,1.0160540612274793,-0.1883310809076304,0.1865154890667169,0.18713522210303518,0.10925471143345133
91,100968894.5785149,-15941430.932390854,100968.8945785149,1.0158996349584348,-0.1874856693213562,0.18904220651655992,0.19813474434815437,0.11101349214275692
92,101819451.36113475,-16125715.63477902,101819.45136113475,1.0160928167329377,-0.18817846483286688,0.17974953521741338,0.2075232841714408,0.10618394334468083
93,105745386.01035261,-16649105.735888949,105745.38601035261,1.012415202685202,-0.1868664514904651,0.18939266153128126,0.25546904978015467,0.10256779744964245
94,109344488.73638377,-17311423.78075383,109344.48873638376,1.0145963620786735,-0.18810004631596094,0.19454231300003982,0.2968517232398622,0.10125816178795724
95,110237501.34866372,-17410060.652754866,110237.50134866372,1.0150416156389992,-0.18755295333185001,0.19402143031796526,0.30804539095241024,0.10937715869430661
96,110712803.66473538,-17513066.61428255,110712.80366473537,1.0121020033763994,-0.18790897022383238,0.18012710627658246,0.31329147472870356,0.1068489068054108
97,109042115.2123216,-17145157.74695292,109042.1152123216,1.0137555026289642,-0.18656937313092292,0.18610494330147329,0.2949338121784817,0.10654745711624325
98,110433620.3772855,-17506934.271210924,110433.6203772855,1.0125088426217692,-0.18839512097985492,0.18952562951082993,0.30944387291385655,0.11316439521795334
99,112329588.55943191,-17682142.26665011,112329.58855943191,1.0141062107287913,-0.1868211236460864,0.20371550919498005,0.3336913628185954,0.11190006645352844
